job_title,company,location,salary,job_description
Mobile Fabric Engineer,TREVETT PROFESSIONAL SERVICES LTD,"BD1, Bradford","Up to £34,000 per annum","Role: Mobile Fabric Engineer Salary: £34,000 + Package Location: Bradford About the role We are working with a regional and reputable Building Services and FM Organisation who are looking to bring on a Fabric Engineer to cover theirhigh street retail and banking clients for the Mobile division inthe Bradford area. Job purpose:As a Mobile Fabric Engineer you will be responsible for undertaking all building fabric activities such as patch repairs, minor plumbing, and carpentry, painting and decorating all to the highest level of service for the client. You will be required to answer queries, report any defects, and keep the client informed of site activities at the time of the service visit. You will be expected to complete all work-related documentation accurately and on time, keeping logs of inspections reports and remedial work. Experience & Qualifications"
"Junior DevOps Engineer - Azure, Linux, Automation",Applause IT Limited,"Manchester, Greater Manchester",£40000 - £50000 per annum + Benefits,"£40,000 - £50,000 + Benefits Manchester / Remote Applause IT are seeking a Junior DevOps Engineer with a passion to get into the world of DevOps. You will be working for an established client of mine based in Manchester but supporting hybrid working. Working within a Linux environment utilising Azure the individual will get the opportunity to work alongside existing DevOps Engineers supporting the Dev Team. * Minimum of 2 years of Linux experience e.g. Linux Sys Admin * A background in automating application deployment and configuration management * In-depth experience of CI tools - such as Gitlab/Bamboo etc * Experience with Terraform * Knowledge of GIT This is an ideal position for a driven individual with some DevOps experience who is seeking an opportunity to gain wider technical exposure and progress their career."
Node.js Developer,IO Associates,"Manchester, Greater Manchester",£50000 - £65000 per annum,"Are you interested in joining an early stage Renewable Energy start-up focusing on the EV scene based in the UK? We're currently looking for Back End Developers to join their established development team of 12! Based out of the UK, they have an office in South Wales (you can head in if you're local and want to) - or you can follow the lead of the company's dev team who are scattered across the UK and work remotely. Technology wise, they operate with a MEAN stack, and are looking for developers experienced in this field to come in and add hands on deck to an ever growing client base. Salary wise, the sweet spots would be from £50-£65k, but after recently closing their round of funding, they can be flexible for the right candidates!"
Dynamics Functional Consultant,Calisen,"Spring Gardens, M2 1HW",£55000 per year,"We have an exciting opportunity for a Dynamics Functional Consultant to join our team, supporting our Dynamics implementation with a focus on Field Service. This is a permanent, full-time role working 37.5 hours per week, Monday Friday on a hybrid basis 2 days a week in our Manchester office. The salary is £45,000- £55,000 per annum, depending upon experience, plus company bonus. Working collaboratively on a range of projects delivering Dynamics solutions across the Group, including Business Central, Field Service, Customer Engagement and Power Platform Working closely with a range of internal and external stakeholders to ensure solutions meet business requirements. Understanding business processes and how D365 can improve them. Providing support to users of BAU solutions Key Responsibilities"
Senior Software Engineer,Bright Purple,"Manchester, Greater Manchester",Senior Software Engineer,"Location: UK remote Salary: Up to £70,000 We are currently seeking a Senior Software Engineer with a wealth of experience and enthusiasm to join our Product Engineering team. As a Senior Engineer, you will be responsible for developing innovative solutions, leading implementation efforts, and sharing your expertise with your colleagues. Our ideal candidate will not only be technically proficient but also an exceptional team player. You should be able to collaborate effectively with teams from across the organization to transform real-world user issues into cutting-edge product features. A Senior Engineer must possess a deep understanding of how our systems work together and have the ability to build solutions that seamlessly integrate with the existing architecture."
MS Dynamics BC Developer (Remote UK),Forward Role,"Manchester, Greater Manchester",£40k - 60k per year + Benefits,"Role: MS Dynamics BC Developer (Remote UK) Salary: £40,000 - £60,000 Location: Remote Are you a MS Dynamics BC Developer looking for a new challenge? I am working alongside a IT services organisation who are looking for a Dynamics BC Developer to join their team and solidify their position as the fastest growing Dynamics BC partner in the UK. In this role you will help develop the applications and functionality of these based upon the requirements of the end customer and the internal users. A minimum of 2 years’ experience within MS Dynamics BC Visual Studio and developing extensions Must be able to self-motivate and confident planning your own day Microsoft SQL experience – (Preferred) In return you will work alongside a collaborative team who focus on employee wellbeing, engagement, development, and recognition."
PL/SQL Developer,Eutopia Solutions Limited,"Liverpool, Merseyside",£36386 - £42155 per annum + plus exceptional benefits,"We are partnered with one of the largest Employers in the region, a leader in their sector, looking to a PL/SQL Developer to join their HR Systems Development team. Ideally you will be an experienced PL/SQL Developer with front end development experience (HTML, Javascript, Bootstrap, AJAX or similar) but our client will look to a PL/SQL Developer with some exposure to these front end technologies who has a genuine interest in upskilling in these areas. You may have expertise in Oracle and Database Programming with an ""eye"" for web design. If you have experience in Oracle Apex and are interested in developing your front end skills, we strongly recommend you apply. Operating a Hybrid working model, there is a split of onsite and remote working."
Web Developer - Wordpress / WooCommerce,CV Screen Ltd,"M50, Salford",Up to £50k plus benefits,"An experienced Web Developer with strong Wordpress and WooCommerce skills is required for an exciting position based in Salford. This position will join a growing digital team delivering creative and functional solutions for the company. The organisation place technology at the heart of their business and are in a sustained period of growth. This will be an office based position with some flexibility for hybrid working once established. Working as part of an established digital team, the Web Developer will be responsible for the ongoing design and development of a variety of solutions being the go to point of contact for web development. Client The successful candidate will join a rapidly growing technology solutions provider with plenty of opportunity for progression. What you will be doing; * Delivery of user centric design solutions"
Graduate C# .Net Developer,Exposed Solutions,"Swinton, m27 6db",£20000 - £30000 per annum,"Are you a Graduate .NET Developer looking to start a successful career within an excellent business? On offer is the amazing opportunity for a Graduate .NET Developer to join a our client and work within an expert development team who will help grow and sharpen your Developer skills. You'll also be able to progress your career as chances to move to more senior roles is at the tip of your fingers. In this role, the successful Graduate .NET Developer will be working on a dynamic range of projects such as creating new features on systems and websites, improving existing systems and develop both front and back end systems. While you will learn on the job you will also have access to training to bring your skillset to the next level."
NC Programmer,Tailor MADE Commercial,"BB18, Barnoldswick","Up to £60,000 per annum","Role: NC Programmer Location: Barnoldswick Salary: up to £60,000 DOE Hours: 8:30am-5:30pm on Monday-Friday Subject to business needs Our client is a forward thinking, growing organisation in the Aerospace & Defence sector. They are seeking an experienced NC Programmer to join their growing team You will be accountable to the Engineering Lead for ensuring machined and assembled components are manufactured in accordance with Customer and regulatory requirements. You will create CNC CAD programmes using £D modelling software CATIA Offline programming. Create CNC CAD Programmes using 3D modelling software Offline Programming. Responsible for the creation and development of new and existing CNC machine programmes, fixtures and work holding within the manufacturing team To improve the quality of products and associated processes and systems ensuring compliance"
Full Stack Engineer,CGI,"Manchester, Greater Manchester",Competitive,"If you have a talent for problem solving and managing complex server integrations, well help you make your best better. At CGI, our Full Stack Engineers are trusted to work closely with a wide range of clients on exciting projects with real-world purpose and impact. CGI was voted a Best Workplace by Great Place To Work in 2021, and offers a competitive salary, excellent pension, private healthcare, plus a share scheme (3% + 3% matching) which makes you a member not just an employee. We are committed to inclusivity, building a genuinely diverse community of tech talent and inspiring more women to pursue careers in our sector. We won Best Tech Employer at the 2022 Women in Tech Employer Awards. We are happy to discuss remote or hybrid working. At CGI youll be part of an open, friendly community of experts."
DevOps Engineer - National Security,IO Associates,"Salford, Greater Manchester",£60000 - £80000 per annum,"Are you a security-cleared DevOps Engineer looking for a permanent role in National Security-based projects? My client who is a leading contributor to technology & engineering within the National Security, Defence & Consulting Industry are looking for multiple DevOps Engineers of varying experience levels. * Location: Manchester & Gloucester * Time spent on site dependent on specific projects * Salary: Up to £80,000 + bonus * 37.5 hours a week You will be deploying, integrating, maintaining & developing new & existing architectural components. While participating in meetings with the agile team, attending demos and planning sessions. * AWS/Azure Cloud * Ansible / Docker / Kubernetes * Java / Python * Jenkins * Linux * Apache Nifi * Flink * ELK stack Due to the nature of the projects, you'll be working on and the clients you will be working on site with."
FullStack Developer - Manchester hybrid - C# / .Net,Senitor Associates Limited,"Manchester, Greater Manchester",£30000 - £42000 per annum,"1 day a week in the office Salary £30-42K DOE An established company based in South Manchester are currently looking for an experienced mid-weight developer to work on exciting greenfield projects in a small team with lots of scope for growth and development. You'll be working on new web portals, ERP systems and a variety of new projects with a varied tech stack. You'd be coming into a small team so would have lots of autonomy and opportunity to work independently. * C# * Net * SQL * JavaScript * Any experience with ERP systems would be a bonus * Hands on development * Self-starter / able to work independently * Team player / able to work in a team * Motivated * Adaptable * Interested in staying up to date with newest tech This is a great opportunity to expand your skillset and work in a company with great progression opportunities."
Software Developer,Travel Counsellors,"Manchester, Greater Manchester",Negotiable,"Are you an experienced Software Developer with a strong background in .NET/C#? Want to work with an organisation investing significantly in technology - with over £10m investment this year alone - offering the chance to work on a wide range of project? We are currently recruiting for an experienced .NET Software Developer to join our dedicated and passionate development team, with really exciting growth opportunities. Joining as a Software Developer, you will be working as part of our digital team at our head offices in Manchester, assisting in building full end-to-end systems and creating applications. You'll be a key part of helping us grow, develop, and expand on our existing software to meet the changing needs of our users. You will also help develop future projects, from prototyping to end product. Main Responsibilities"
Software Developer,Morson Talent,"Eccles, M50 1RD",£75 - 95 per hour + inside IR35,"C# Software Developer 6 months initially Warton initially for 4 weeks then based in Manchester £75-£95ph inside IR35 You’ll analyse system requirements to influence the software design and contribute to project planning You’ll implement and configure new functionality ensuring a maintainable code base You’ll produce Unit/Module Tests and Software Documents with the appropriate coverage You’ll provide software support to the Systems Build, Integration and Test teams during formal qualification activities Comprehensive C# ability with experience using WPF/WinForms Experience with Source Control (e.g. Git or Clearcase), Automated Testing (e.g. Coded /UI or Rational Robot), COM, .Net Interop, Oracle, SQL, XML (XSD/XSLT), Entity Framework and Team Foundation Server/Azure DevOps"
Junior Software Developer,ITECCO Limited,"Liverpool, Merseyside",£28000 - £35000 per annum,"Revolutionise the industry as a Junior Software Developer - Are you ready for a challenge? Our company is looking for a Junior Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and at least 1 year of experience in either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Junior Software Developer,ITECCO Limited,"Preston, Lancashire",£28000 - £35000 per annum,"Revolutionise the industry as a Junior Software Developer - Are you ready for a challenge? Our company is looking for a Junior Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and at least 1 year of experience in either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Graduate Software Developer,ITECCO Limited,"Preston, Lancashire",£25000 - £30000 per annum,"Revolutionise the industry as a Graduate Software Developer - Are you ready for a challenge? Our company is looking for a Graduate Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and strong knowledge of either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Graduate Software Developer,ITECCO Limited,"Liverpool, Merseyside",£25000 - £30000 per annum,"Revolutionise the industry as a Graduate Software Developer - Are you ready for a challenge? Our company is looking for a Graduate Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and strong knowledge of either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Junior Software Developer,ITECCO Limited,"Manchester, Greater Manchester",£28000 - £35000 per annum,"Revolutionise the industry as a Junior Software Developer - Are you ready for a challenge? Our company is looking for a Junior Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and at least 1 year of experience in either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Graduate Software Developer,ITECCO Limited,"Manchester, Greater Manchester",£25000 - £30000 per annum,"Revolutionise the industry as a Graduate Software Developer - Are you ready for a challenge? Our company is looking for a Graduate Software Developer who wants to make a real impact in the industry. You will be working with the latest technologies and be part of a team that is pushing the boundaries of what is possible. You'll be responsible for creating clean code and improving their software, working closely with innovators in the space to create innovative solutions. If you're passionate about technology and have a Computer Science Degree from a top university, and strong knowledge of either Python, C#, JavaScript, or PHP, then this is the role for you. Apply now and join us on our journey to change the game!"
Front End Developer,Pimlico Banks Recruitment,"M1, Manchester","Up to £50,000 per annum + amazing benefits + 25 days holiday","Are you a talented and skilled Front End Developer with strong React skills who enjoys working with a range of tech? You could be progressing your career at leading edge technology company and working on complex, technically rewarding systems across the front end tech stack, within a supportive environment that promotes continual learning. Your role: As a Front End Developer you'll join a multi-disciplinary business and aligned Agile Tribe with a strong focus on a JavaScript/React UI dashboard for their SAAS platform. Joining an established team, as a Front End Developer, you will design and develop new features and enhancements on an exciting cloud based product that has been developed for a large scale clients."
Software Onboarding Specialist,Erin Associates,"M1, Manchester","£30000 - £32000 per annum, Benefits Excellent benefits","Software, SDLC, Onboarding, Customer Engagement, Project Work I currently require a Software Onboarding Specialist, to join a software company and help to implement onboarding projects to new and existing clients. You will contribute by delivering consultancy and project work as well as training. As a Software Onboarding Specialist, you will work with world-renowned customers to define, communicate, and execute and support onboarding projects. You will also have a good level of competency with software as well as a proactive attitude to manage onboarding for clients. Skills & responsibilities * Able to engage with clients and understand their requirements. * Able to work on multiple projects and effectively prioritise. * Be a result orientated, deadline driven individual. * Excellent analytical skills * Excellent interpersonal skills and can manage all stakeholders."
DevOps Engineer,Adria Solutions,"M1, Manchester","Circa £70,000","On behalf of our growing client based in Manchester, we are recruiting for aDevOps Engineer. As DevOps Engineer, you will be passionate about leading the development of the Azure cloud environment, implementing CI/CD tooling and processes, and working with Infrastructure as Code. * Previous experience as a DevOps Engineer or similar role * Experience with Azure DevOps CI/CD * Automation of tools to monitor system health and reliability (Application Insights) * Awareness/Knowledge of deploying .Net applications (MVC, API, Functions) * PowerShell scripting * Terraform * Experience in software development lifecycle (Agile/Lean methodologies) * Version control experience (Git/Azure DevOps) * Understanding of .NET language Benefits * Flexible/ Remoteworking * Training * Medical insurance * 25 days Holiday If this sounds like your perfect role, click Apply without delay!"
"Remote - Senior / Lead PHP Developer - To £90,000 + Bonus",ECOM Manchester,"Manchester, Greater Manchester",£55k - 90k per year + Bonus,The Company This innovative digital first business are are truly embracing the digital age with their ways of working. They are a young business who have grown year on year over the past three years and who have recently gone through an impressive second round of investment and so are now looking for an ambitious Senior / Lead PHP Developer to help them grow further. The Person They are looking for Senior to Lead developer who has solid PHP software development experience who could effectively come in and hit the ground running. It's desirable for you to have some experience of PHP frameworks and any front end experience will be a bonus. The role can be fully remote. The Role You will be working closely with Senior Stakeholders of the business to deliver a digital dashboard product as well as looking at new product development.
Automation Test Engineer,Pimlico Banks Recruitment,"M1, Manchester","Up to £50,000 per annum + amazing benefits + 25 days holiday","Are you looking for an impactful Automation Test Engineer role where you will ensure the quality of cutting-edge software products? You could be part of a cloud based SAAS business with a reputation for technical innovation and excellence. As an Automation Test Engineer, you will be responsible for testing and ensuring the quality of innovate software solutions before they are released. You will take an active and direct role in the planning, designing and execution of mainly automated tests. Together with your close-knit Agile team you will translate software requirements/stories into accurate and complete test scenarios, including identifying the detailed test data, with a commitment to deliver high quality releases."
DevOps Engineer,Pimlico Banks Recruitment,"M11, Manchester","Up to £55,000 per annum + amazing benefits + 25 days holiday","Are you a talented DevOps Engineer seeking a challenging and crucial role within a highly successful SAAS cloud tech company who have revolutionised the way large buildings are constructed and maintained? Why Would you Join? * Competitive salary with annual reviews * Full Remote Working (Work From Home, WFH) * Private medical care * Life assurance * Dedicated weekly training sessions, * Friday afternoons off work once a month and many more. * 25 days holiday (plus 1 for every year worked) The Opportunity As a DevOps engineer, you will be crucial in streamlining development and deployment processes. Ensuring products are delivered on time and with the highest quality possible. You will oversee how the code is built and tested, how and where it is deployed and how it is monitored in production environments."
ServiceNow Developer,DWP Digital,"City Centre, m2 3lr",£38469 - £46480 per annum,"Digital with Purpose. Do you thrive in a challenging environment and actively seek solutions? We have a great opportunity to join our community of amazing experts at DWP Digital as a ServiceNow Developer. You will join a team within DWP working on the largest government installation of ServiceNow within Europe. You will be responsible for developing stories, providing technical input and assistance to colleagues within your feature team. DWP is the UK's largest government department. We help people into work and make payments worth over £195bn a year, to support millions of daily users. Our DWP Digital teams are delivering a once-in-a-generation transformation of products and services that almost everyone in the UK will use, at key times in their lives."
IT Developer - Leading Online Retailer,Applause IT Limited,"Foxhill Bank, BB5 0BA",£50000 - £60000 per annum,"IT Developer - Java, SQL, Cobol, IBM Accrington / Hybrid working - £50,000 - £60,000 + Applause IT are recruiting an IT Developer to join one of the largest online value retailers in the UK. You will be joining an established and reputable business that has been in operation for over 50 years and provides services to around 1.8 million customers per year. We are looking for a diverse IT Developer with strong knowledge of software development methodologies, concepts, and processes to provide technical oversight and leadership to our IT delivery team. You will help to deliver applications emphasising non-functional requirements (Scalability, Reliability, Robust, etc.) that will enable positive customer experiences. * Java * SQL: query development ideally IBM DB2/Microsoft SQL Server/Oracle SQL * Cobol * Source code control tools such as SVN, Bitbucket, Jenkins"
Junior Salesforce Developer,Vitality,"Crown Royal Ind Park, SK2 6NG",£Competitive + Bonus + Benefits,"Vitality, Junior Salesforce Developer, Stockport, £Competitive + Bonus + Benefits Hybrid role - 2 days a week in the office, 3 days a week at home. We’re the UK insurer and investment provider that rewards people for positive lifestyle choices. With 1.25m+ UK members and more than 25m globally, we’re out to make the world a healthier, happier place. That applies as much to our people as it does to our members. So, as well as a highly competitive pay package, you’ll enjoy: Free places to Vitality sponsored run events, online fitness classes and wellbeing workshops, competitions to win tickets to top-flight sporting events, health checks, and access to our full range of partners and rewards. The Junior Salesforce developer is part of a highly skilled, dedicated, Salesforce development team supporting and enabling multiple business lines, across all products at Vitality."
"Senior Software Engineer (Go, JavaScript, AWS)",Oscar Associates (UK) Limited,"Manchester, Greater Manchester","£70000 - £90000 per annum + Remote work, Flexible working","Senior Software Engineer - Remote (Go / GoLang | AWS | Python | JavaScript / Node | Docker | Kubernetes) Up to £90,000 (DOE) + remote work, flexible hours, 25 days annual leave, medical insurance, life assurance, tech budget, progression plan, annual appraisals * Work on a sleek platform * One of the fastest growing UK tech teams The Role As the Senior Software Engineer, your role will be varied and you will mean more than just 'writing code'. You will fully immerse yourself in the architecture, design, test and demos alongside a close-knit Agile development and product team. You will be responsible for creating new features and building user-friendly functionality. The system itself is based on event-driven microservice architecture with all backend services written in Golang and Node."
Senior Software Engineer,Bright Purple,"Manchester, Greater Manchester","£50,000 - £65,000","Heres a rare opportunity to join a global engineering design and manufacturing business who are true innovators in their sector. Using innovation and technology to maintain their position as market leaders, they are now looking to enhance their Software Engineering team with a Senior Software Engineer to work remotely from anywhere in the UK using C++, C# and SQL Server! Theyre offering a salary in the region of £60k to £55k DOEan excellent benefits package including a company bonus (they may go slightly higher for the right person). Youll join an existing team of around 12 Software Engineers as well as Product Owners and testers delivering projects through the full SDLC in an Agile Development environment. * Experience of desktop and web application development * Expert knowledge of C++, C# and SQL Server"
Web Developer,Senitor Associates Limited,"Bradford, West Yorkshire",£35000 - £45000 per annum + Excellent benefits,"A company located in Bradford is looking for a Software Developer to join their small but growing development team on a hybrid working basis. You will be involved in building new features on the website and all other websites across the Group, and you will also get the opportunity to work on additional web solutions. The role is ideal for a developer with 2+ years' experience, who is happy to hit the ground running, however the friendly team is always on hand to provide any support no matter your experience or competency! Ideally you will have experience in ASP.Net WebForms, however ASP.Net is also considered as long as you have an interested and willingness to work / learn WebForms."
Java Full Stack Developer,Russell Taylor Group Ltd,"BB1, Blackburn",Unspecified,"Blackburn * Our Client is a market leader in traceability and weighing systems that are used by the UK's top food production manufacturers as well as other markets including cash, courier, healthcare, and industrial. * With a brand that boasts over 160 years of experience, you will join a team of software developers and project manages at our Blackburn Head Office. * Our Client is looking for an experienced Java Full Stack Developer who is self-motivated and who has the determination, drive, ability, and passion to succeed. A person who can integrate within our team of developers and make a difference. * 26 days of annual leave per year, plus bank holidays. * The company offers a matched pension scheme, as well as Employee Life Insurance which pays out x4 your annual salary. * The company culture is a friendly, relaxed atmosphere with a small business feel."
Front End Developer,Searchability NS&D Ltd,"The Trafford Centre, M17","Up to £64,000 per annum","* Permanent opportunity for a Front-End Developer * Offices based all over the UK * 1 or 2 days a week on-site (this is flexible) * Base salary up to £64K? We are recruiting a permanent Front-End developer to join a brilliant team of Developers, Testers, Project Managers and Scrum Masters who work on engaging content management, digital marketing and e-commerce solutions for clients in the public sector! The projects range in size and length, so variety is a key aspect here. Our teams work in an Agile environment, and continuously strive to stay up to date with modern tech and best practises. We are looking for someone to join the team and hit the ground running, with that in mind we are looking for someone with digital customer experience to be an active member of our agile development team."
Dynamics 365 and Power Platform Developer,Searchability NS&D Ltd,"The Trafford Centre, M17","£85,000 per annum","* Eligibility for SC clearance is essential * Hybrid role offices all over the UK * Consultancy experience is desirable * Salaries up to £95K We are a team of professionals delivering projects with a positive social impact looking to expand our team. We are recruiting Dynamics 365 & Power Platform Developers to work with an industry leading global consultancy company who have demand UK wide. This is an exciting opportunity to join our Public Sector business unit to work on some interesting accounts. With training and development support all the way through your career and clients across multiple industries (Retail, Utilities, Manufacturing, Transport and Health) youll never have a dull moment or find yourself short of challenges! WHAT WILL THE DYNAMICS 365 & POWER PLATFORM DEVELOPER BE DOING?"
C# ASP.Net Developer SQL Javascript Full Stack Developer,Applause IT Limited,"Bradford, West Yorkshire, BD1 1TU","£40000 - £50000 per annum + Hybrid, training, learning and development","C# ASP.Net Full Stack Developer £40,000 - £50,000 - Hybrid - Ideal candidate to be based near Bradford, Leeds, Huddersfield, Rochdale, Burnley, Skipton, Harrogate, Sheffield. Reports to Bradford office. An exciting opportunity to join a market-leading business within the PC Gaming and Computer Hardware industry. With a passion for designing and building their own multi award-winning PC systems that are both prebuilt and bespoke to customers. The chance to join an exceptional team with the ethos of creativity and quality, you will get the opportunity to learn and develop your skills within the e-commerce domain. Working as a C# ASP.Net Developer, you will be joining their growing team of developers, helping to build new features on the website as well as other auxiliary web functions."
Frontend Developer Senior,Applause IT Limited,"Crewe, Cheshire",£60000 - £70000 per annum,"Senior Frontend Developer - Fully Remote - £70,000 Applause IT are recruiting a Senior Frontend Developer to join a market leading software solutions company in the UK. You will be part of their telematics division, which is the largest in the UK, providing core development SaaS products for their clientel within the vehicle telematics industry. Founded over 30 years ago with offices across 18 different countries, it is a great opportunity for an ambitious Frontend Developer to join a global, market leading company with huge progression opportunities. Our client has also been voted as on of the top 100 UK companies to work for in the UK, with reward and recognition being at the heart of their values. * Designing and developing new features * Maintaining and improving the existing application * Create mock-ups and prototypes"
FullStack PHP Developer - Stockport,Senitor Associates Limited,"Stockport, Greater Manchester",£35000 - £50000 per annum,"I am looking for an experienced FullStack PHP Developer with at least 2 years commercial experience of development. The ideal candidate would be skilled in an MVC Framework such as Laravel or Symfony and would have also used JavaScript Frameworks such as React, Vue or Angular (although candidates without these skills would be considered). The position is for a company creating a bespoke product used by Ecommerce companies across the UK, with over 1000 customers. They are in a huge period of growth and after starting trading 3 years ago the team has doubled every year, now to a team of 45, including 9 developers. This is a very exciting time to join the company, as the growth potential is huge following a 7-figure investment earlier this year. * PHP * JavaScript * MVC Framework eg Laravel / Symfony * JavaScript Frameworks eg Vue / Angular / React * MySQL * Sass"
"Senior Frontend Developer, £550/day (Outside IR35)",ECOM Manchester,"Manchester, Greater Manchester",£450 - 550 per day,"Opportunity for a Senor Frontend Developer to work remotely for a retail client in Manchester on an initial 6-month contract outside of IR35. * TypeScript * React * Next * TDD In return they're offering an initial 6-month outside IR35 contract paying up to £550/day. If you're interested and would like to know more, please apply through this advert and I'll be in touch. InterQuest Group is acting as an employment agency for this vacancy. InterQuest Group is an equal opportunities employer and we welcome applications from all suitably qualified persons regardless of age, disability, gender, religion/belief, race, marriage, civil partnership, pregnancy, maternity, sex or sexual orientation. Please make us aware if you require any reasonable adjustments throughout the recruitment process."
C# Developer x2 - Manchester Hybrid - Perm,INFUSED SOLUTIONS LIMITED,"M1, Manchester",£55000 - £60000 per annum,"Infused Solutions have partnered a rapidly growing software company in Central Manchester who are looking to add x2 Senior C#.net Developer to their team. This organisation is currently going through a big phase of growth across all technology teams with some new and exciting projects coming up. The role is a remote role occasional site visits in Manchester (Ideally once a week). Please note we are NOT able to offer sponsorship on these roles. What your day-to-day role will look like * Helping the .NET development team and ensuring they adhere to determined software quality standards * Championing process by following established processes and supporting their continual improvement. * Playing a key role in identifying and championing improvements in the areas of technology, process, and product"
Senior Software Developer,Henderson Scott,"Mossside Enterprise Park, M15",£55000.00 - £70000.00 per annum + Full Benefits Listed,"A leading enterprise-scale SaaS provider, renowned within the UK FinTech space for providing its clients with state of the art software applications and systems, capable of handling the most complex and diverse needs of any organisation regardless of its size, is looking to strengthen their talented team of Software Developers with 2 new hires. If like the sound of producing highly scalable, secure, reliable, and most importantly, easily maintainable code, then this is the perfect role for you, as you will be busy ensuring their customers who operate across multiple locations can still handle high volumes of activity, whilst managing large numbers of employees and or users. Their IT department is split into 2 (BAU & Greenfield), and both vacancies are on the Greenfield team."
"Senior Software Engineer, £65k + 5% bonus",ECOM Manchester,"Manchester, Greater Manchester",£55k - 65k per year + benefits,"Great opportunity to join a data company in Manchester that provides open-source intelligence that enables businesses to make critical decisions. You'd join a brand-new product team as one of the very first hires and would be given the opportunity to help shape things in an environment which will encompass machine learning, artificial intelligence and the latest cloud tech. As a Senior Software Engineer you can also expect to deliver software using best practice like TDD and pair programming. Tech * .NET Core APIs * Serverless event-driven AWS microservices * Docker for containers * Terraform for IaC * NoSQL and graph technologies The money is good too - up to £65k plus company benefits including 5% bonus, 6% pension, private medical and dental, 27 days holiday and regular flexible/remote working."
C# Software Developer,Adria Solutions,"M17, Manchester","£45,000","Our client based near Manchester is currently looking for an experienced C# Software Developer. As part of a small development team, you will write specific, bespoke applications which form an integral part of mobile computing solutions as well as support the existing software team. This position requires business and commercial awareness as well as excellent interpersonal and communication skills as you will be customer facing. You must be used to seeing a project through to its conclusion with minimal supervision and must be a self-starter with a positive can-do attitude within this demanding environment. * C# experience * Windows Client & Windows Server Applications * Integration with remote hardware devices via TCP socket connections or 3rd party SDKs * Cloud-based solutions, especially Microsoft Azure"
Java Developer - contract - up to £700 per day,Oliver Bernard Ltd,"Manchester, Greater Manchester, M4 3AQ",£600 - £700 per day,"Java contracts paying up to £700 per day - Two new open contract roles - £650-700 max per day - 6 month rolling contract - Java, AWS, Python, Kafka, Docker, Kubernetes, REST API's - Inside IR35 - 1 day a week in the office in Manchester If interested please apply below."
Power Platform Consultant,Rullion,"Manchester, Greater Manchester, M4 8BA",Negotiable,"Inside IR35 - Hybrid with occasional travel to Manchester Our client, a market leader within the retail sector, are currently undertaking a large transformation programme whereby they have a need to recruit a Power Platform Consultant to support with the integration into MS Dynamics 365 (F&O). This role would suit somebody who has had exposure to similar large complex programmes who can oversee the deployment through to completion and can help to build a team to provide ongoing application support. You will need to be hands on as you will be involved in development work and the improvement of applications that are already live. There will also be a requirement for this candidate to be involved in workshops on occasions. * Experience working within Microsoft Power Platform, especially PowerApps, Power BI, flow and Logic Apps."
Senior Software Engineer Java,CGI,"M1, Manchester",Competitive,"If your coding skills are backed up with a talent for solving problems, well help you to make your best, better. At CGI, our Developers are trusted to work closely with a wide range of clients on exciting projects with real-world purpose and impact. CGI was voted a Best Workplace by Great Place To Work, and offers a competitive salary, excellent pension, private healthcare, plus a share scheme (3% + 3% matching) which makes you a member not just an employee. We are committed to inclusivity, building a genuinely diverse community of tech talent and inspiring more women to pursue careers in our sector. We won Best Tech Employer at the 2022 Women in Tech Employer Awards. We are happy to discuss remote or hybrid working and you can be based anywhere in the UK. All applicants must hold or be prepared to undergo National Security Vetting (NSV) Security Check (SC) level."
